"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectscikit-learn:typeissue_reply:author_groupmember:year2014"	0.107942360921331	0.00523480743556807	442843.468325447	20.620120653897	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200649158246001
"projectscipy:typeissue_reply:author_groupmember:year2014"	0.100494245858087	0.00593086933098573	485401.198209554	16.9442690859933	0.000000000000000000000000000000000000000000000000000000000000000221417062607218
"projectmatplotlib:typepr_reply:author_groupmember:year2014"	0.137559732678487	0.00521285154694224	436765.997812975	26.3885766628396	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000244718095406017
"projectmayavi:typepr_reply:author_groupmember:year2014"	0.219018195770509	0.0444230408113265	506979.35039379	4.93028373948382	0.00000082136134470963
"projectnumpy:typepr_reply:author_groupmember:year2014"	0.161619429252388	0.00463769349649572	415569.611872846	34.8490967276101	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106679082861805
"projectpandas:typepr_reply:author_groupmember:year2014"	0.148627973698352	0.00362763483840733	261547.420093323	40.971040448935	0
"projectscikit-image:typepr_reply:author_groupmember:year2014"	0.150068397797197	0.0064768471108624	472782.150871476	23.1699768774093	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106553206895907
"projectscikit-learn:typepr_reply:author_groupmember:year2014"	0.15309026378002	0.00390150406564636	292096.310232487	39.2387810454986	0
"projectscipy:typepr_reply:author_groupmember:year2014"	0.160346200849065	0.0048161217179051	428479.522189047	33.2936354687506	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000097765781378706
"projectmatplotlib:typeissue_post:author_groupnonmember:year2014"	0.0833122818154962	0.0113781002144163	378241.458823468	7.3221610150645	0.000000000000244490289443289
"projectmayavi:typeissue_post:author_groupnonmember:year2014"	0.173805813900102	0.0422730781022809	354283.457316442	4.11150126043753	0.0000393183193765256
"projectnumpy:typeissue_post:author_groupnonmember:year2014"	0.0410693739569334	0.0124257617647006	388944.893666446	3.30517957245923	0.000949241455873278
"projectpandas:typeissue_post:author_groupnonmember:year2014"	0.061589802999305	0.00768629161730079	298756.623455912	8.01294122911949	0.00000000000000112396135562064
"projectscikit-image:typeissue_post:author_groupnonmember:year2014"	0.103995250495163	0.0248263894751827	444896.430200504	4.18889950144061	0.0000280364416388502
"projectscikit-learn:typeissue_post:author_groupnonmember:year2014"	0.0857753357135068	0.0129477733630222	311768.414931883	6.62471710838514	0.0000000000348475811203244
"projectscipy:typeissue_post:author_groupnonmember:year2014"	0.0785258003227024	0.0128251187141139	354750.511683076	6.12281274529533	0.000000000920336254932867
