"t_stats" "p_value"
"pr_post:nonmember:scikit-learnTRUE:year2018-pr_post:nonmember:scikit-learnFALSE:year2018" -5.04550909236839 4.52315382704072e-07
"issue_reply:nonmember:scikit-learnTRUE:year2018-issue_reply:nonmember:scikit-learnFALSE:year2018" 2.80136863416966 0.00508863541493976
"pr_reply:nonmember:scikit-learnTRUE:year2018-pr_reply:nonmember:scikit-learnFALSE:year2018" 3.28401976408628 0.00102337745355907
"pr_post:member:scipyTRUE:year2011-pr_post:member:scipyFALSE:year2011" -0.108246778875836 0.913799938751157
"pr_reply:member:scipyTRUE:year2011-pr_reply:member:scipyFALSE:year2011" 0.469878899242607 0.638441540542096
"pr_post:nonmember:scipyTRUE:year2011-pr_post:nonmember:scipyFALSE:year2011" 1.01689111432961 0.309205230852051
"pr_reply:nonmember:scipyTRUE:year2011-pr_reply:nonmember:scipyFALSE:year2011" 0.550269880869809 0.582134279344686
"pr_post:member:scipyTRUE:year2012-pr_post:member:scipyFALSE:year2012" 0.47533308282811 0.634549582367007
"pr_reply:member:scipyTRUE:year2012-pr_reply:member:scipyFALSE:year2012" -0.0799522035779771 0.936275270231643
"pr_post:nonmember:scipyTRUE:year2012-pr_post:nonmember:scipyFALSE:year2012" -0.374530206728166 0.708009887462355
"pr_reply:nonmember:scipyTRUE:year2012-pr_reply:nonmember:scipyFALSE:year2012" 1.33058278484983 0.183326330087656
"issue_post:member:scipyTRUE:year2013-issue_post:member:scipyFALSE:year2013" -1.48462403732098 0.13764344432807
"pr_post:member:scipyTRUE:year2013-pr_post:member:scipyFALSE:year2013" -0.197990749147507 0.843052301573749
"issue_reply:member:scipyTRUE:year2013-issue_reply:member:scipyFALSE:year2013" -1.29778446431019 0.19436140959634
"pr_reply:member:scipyTRUE:year2013-pr_reply:member:scipyFALSE:year2013" 6.32090356679691 2.60038213184544e-10
"issue_post:nonmember:scipyTRUE:year2013-issue_post:nonmember:scipyFALSE:year2013" 0.327220601444578 0.743501040132011
"pr_post:nonmember:scipyTRUE:year2013-pr_post:nonmember:scipyFALSE:year2013" -0.000958202137946753 0.999235465424997
"issue_reply:nonmember:scipyTRUE:year2013-issue_reply:nonmember:scipyFALSE:year2013" -0.519786715268664 0.603212239600612
"pr_reply:nonmember:scipyTRUE:year2013-pr_reply:nonmember:scipyFALSE:year2013" -0.0186605715069876 0.985111882152943
"issue_post:member:scipyTRUE:year2014-issue_post:member:scipyFALSE:year2014" -0.925819275312543 0.354539908305854
"pr_post:member:scipyTRUE:year2014-pr_post:member:scipyFALSE:year2014" -0.794114046455363 0.427129041030424
"issue_reply:member:scipyTRUE:year2014-issue_reply:member:scipyFALSE:year2014" 1.35496931103524 0.175427334883387
"pr_reply:member:scipyTRUE:year2014-pr_reply:member:scipyFALSE:year2014" -0.55026736479023 0.582136004837737
"issue_post:nonmember:scipyTRUE:year2014-issue_post:nonmember:scipyFALSE:year2014" -0.0245602790429947 0.980405702466292
"pr_post:nonmember:scipyTRUE:year2014-pr_post:nonmember:scipyFALSE:year2014" 0.579933917689833 0.561959181910371
"issue_reply:nonmember:scipyTRUE:year2014-issue_reply:nonmember:scipyFALSE:year2014" 1.20324316487091 0.228882235650949
"pr_reply:nonmember:scipyTRUE:year2014-pr_reply:nonmember:scipyFALSE:year2014" 0.864373474074011 0.387382759742546
"issue_post:member:scipyTRUE:year2015-issue_post:member:scipyFALSE:year2015" -0.258594782326345 0.795947909449394
"pr_post:member:scipyTRUE:year2015-pr_post:member:scipyFALSE:year2015" 0.689530890531737 0.490489240822359
"issue_reply:member:scipyTRUE:year2015-issue_reply:member:scipyFALSE:year2015" 1.82817931425394 0.0675226444807213
"pr_reply:member:scipyTRUE:year2015-pr_reply:member:scipyFALSE:year2015" 5.06588193215639 4.06513830819577e-07
"issue_post:nonmember:scipyTRUE:year2015-issue_post:nonmember:scipyFALSE:year2015" -1.67189729002141 0.0945445772779214
"pr_post:nonmember:scipyTRUE:year2015-pr_post:nonmember:scipyFALSE:year2015" 2.74190843857185 0.0061083366005279
"issue_reply:nonmember:scipyTRUE:year2015-issue_reply:nonmember:scipyFALSE:year2015" 3.08282245761016 0.00205047447661544
"pr_reply:nonmember:scipyTRUE:year2015-pr_reply:nonmember:scipyFALSE:year2015" 4.19943663895339 2.67579891168879e-05
"issue_post:member:scipyTRUE:year2016-issue_post:member:scipyFALSE:year2016" -1.51526644006877 0.129704943521356
"pr_post:member:scipyTRUE:year2016-pr_post:member:scipyFALSE:year2016" 1.21153385266336 0.225690868544167
"issue_reply:member:scipyTRUE:year2016-issue_reply:member:scipyFALSE:year2016" 0.545775345113006 0.585220372836485
"pr_reply:member:scipyTRUE:year2016-pr_reply:member:scipyFALSE:year2016" 7.71353524994643 1.22124532708767e-14
"issue_post:nonmember:scipyTRUE:year2016-issue_post:nonmember:scipyFALSE:year2016" -0.0890552204426565 0.929038024843054
"pr_post:nonmember:scipyTRUE:year2016-pr_post:nonmember:scipyFALSE:year2016" 0.408460787581965 0.682935413230269
